"","Year","district","flat_type","avg_price_per_sqm"
"244",1993,"D3","2-RM",729.591378704014
"245",1993,"D3","3-RM",1075.13767365331
"246",1993,"D3","4-RM",1714.52791033742
"247",1993,"D3","5-RM",2147.3435669751
"248",1993,"D5","3-RM",1119.12080794966
"249",1993,"D5","4-RM",1502.92363590217
"250",1993,"D5","5-RM",2054.1607341817
"251",1993,"D5","EXEC",2215.59970845719
"252",1994,"D1","2-RM",1241.90777236937
"253",1994,"D1","3-RM",1848.6952908158
"254",1994,"D1","4-RM",2477.55801221249
"255",1994,"D1","5-RM",2442.51217897098
"256",1994,"D10","3-RM",1607.90508136964
"257",1994,"D10","4-RM",2219.39695428583
"258",1994,"D10","5-RM",2695.18246522078
"259",1994,"D10","EXEC",2942.27059228909
"260",1994,"D12","2-RM",1177.32604458005
"261",1994,"D12","3-RM",1448.38744508529
"262",1994,"D12","4-RM",1987.75086826199
"263",1994,"D12","5-RM",2430.73515238709
"264",1994,"D12","EXEC",2626.8670302901
"265",1994,"D14","2-RM",947.348424836853
"266",1994,"D14","3-RM",1424.12563516278
"267",1994,"D14","4-RM",1959.57603782282
"268",1994,"D14","5-RM",2458.12259712648
"269",1994,"D14","EXEC",2671.59188438617
"270",1994,"D16","2-RM",1132.18990541953
"271",1994,"D16","3-RM",1403.62461024599
"272",1994,"D16","4-RM",1907.35860129939
"273",1994,"D16","5-RM",2396.54446609594
"274",1994,"D16","EXEC",2555.60557709538
"275",1994,"D18","3-RM",1383.68352016678
"276",1994,"D18","4-RM",1838.09054023787
"277",1994,"D18","5-RM",2243.86261440463
"278",1994,"D18","EXEC",2591.28795399057
"279",1994,"D19","3-RM",1343.38529956509
"280",1994,"D19","4-RM",1803.26351816167
"281",1994,"D19","5-RM",2231.18706878146
"282",1994,"D19","EXEC",2454.70819766565
"283",1994,"D20","1-RM",921.505376344086
"284",1994,"D20","2-RM",1077.77777777778
"285",1994,"D20","3-RM",1411.71294312986
"286",1994,"D20","4-RM",2070.66271369106
"287",1994,"D20","5-RM",2767.48813451779
"288",1994,"D20","EXEC",2854.82592364766
"289",1994,"D22","3-RM",1191.80794931876
"290",1994,"D22","4-RM",1641.33512436347
"291",1994,"D22","5-RM",2043.43957286103
"292",1994,"D22","EXEC",2227.77203618238
"293",1994,"D23","3-RM",1279.80332008417
"294",1994,"D23","4-RM",1682.16058684056
"295",1994,"D23","5-RM",2048.55707766996
"296",1994,"D23","EXEC",2387.59080327861
"297",1994,"D24","3-RM",810.704196933011
"298",1994,"D25","3-RM",1034.34885589453
"299",1994,"D25","4-RM",1389.44309435947
"300",1994,"D25","5-RM",1706.85553579009
"301",1994,"D25","EXEC",2096.16915556132
"302",1994,"D27","3-RM",1318.17361605377
"303",1994,"D27","4-RM",1703.21930252485
"304",1994,"D27","5-RM",2167.82672690797
"305",1994,"D27","EXEC",2468.78386469539
"306",1994,"D3","1-RM",775.12675753777
"307",1994,"D3","2-RM",958.023769410656
"308",1994,"D3","3-RM",1459.26490724262
"309",1994,"D3","4-RM",2203.54657739152
"310",1994,"D3","5-RM",2711.09954177815
"311",1994,"D3","EXEC",3746.47887323944
"312",1994,"D5","3-RM",1451.28349723848
"313",1994,"D5","4-RM",2032.58263687128
"314",1994,"D5","5-RM",2612.12590658618
"315",1994,"D5","EXEC",2731.51701167165
"316",1995,"D1","2-RM",1574.08298594918
"317",1995,"D1","3-RM",2273.45210124826
"318",1995,"D1","4-RM",3039.50089870404
"319",1995,"D1","5-RM",3157.42212203531
"320",1995,"D10","3-RM",1886.40660637777
"321",1995,"D10","4-RM",2685.86091283724
"322",1995,"D10","5-RM",3438.73655764931
"323",1995,"D10","EXEC",3726.33977133397
"324",1995,"D12","2-RM",1597.94609386715
"325",1995,"D12","3-RM",1869.35116580486
"326",1995,"D12","4-RM",2433.7927584537
"327",1995,"D12","5-RM",2921.77291201742
"328",1995,"D12","EXEC",3068.49893161154
"329",1995,"D14","2-RM",1287.33039626531
"330",1995,"D14","3-RM",1843.46988290222
"331",1995,"D14","4-RM",2443.69882728802
"332",1995,"D14","5-RM",2996.90666971834
"333",1995,"D14","EXEC",3086.70296320229
"334",1995,"D16","2-RM",1446.24075271134
"335",1995,"D16","3-RM",1820.45673987231
"336",1995,"D16","4-RM",2339.45443367151
"337",1995,"D16","5-RM",2888.68954264188
"338",1995,"D16","EXEC",3178.53524930127
"339",1995,"D18","3-RM",1800.60007881357
"340",1995,"D18","4-RM",2279.92126063046
"341",1995,"D18","5-RM",2744.21170380566
"342",1995,"D18","EXEC",3106.54011146169
"343",1995,"D19","3-RM",1713.76101532886
"344",1995,"D19","4-RM",2204.64245203552
"345",1995,"D19","5-RM",2699.05102380232
"346",1995,"D19","EXEC",2974.17007794433
"347",1995,"D20","1-RM",1421.57953281424
"348",1995,"D20","2-RM",1385.92592592593
"349",1995,"D20","3-RM",1820.3546937607
"350",1995,"D20","4-RM",2639.24039870939
"351",1995,"D20","5-RM",3332.8780950606
"352",1995,"D20","EXEC",3645.48633588455
"353",1995,"D22","3-RM",1517.85711708765
"354",1995,"D22","4-RM",1970.83715829753
"355",1995,"D22","5-RM",2405.44165401535
"356",1995,"D22","EXEC",2657.71691431267
"357",1995,"D23","3-RM",1598.19996862494
"358",1995,"D23","4-RM",2012.8748532683
"359",1995,"D23","5-RM",2440.43739770725
"360",1995,"D23","EXEC",2794.54148832536
"361",1995,"D24","3-RM",987.28813559322
"362",1995,"D24","4-RM",1174.69879518072
"363",1995,"D25","2-RM",1011.11111111111
"364",1995,"D25","3-RM",1371.63909047853
"365",1995,"D25","4-RM",1714.16378591311
"366",1995,"D25","5-RM",2180.95935369408
"367",1995,"D25","EXEC",2510.14926595198
"368",1995,"D27","3-RM",1686.9071968037
"369",1995,"D27","4-RM",2083.02766112009
"370",1995,"D27","5-RM",2618.49916847868
"371",1995,"D27","EXEC",2942.86608167157
"372",1995,"D3","1-RM",1126.15127919911
"373",1995,"D3","2-RM",1238.96093375846
"374",1995,"D3","3-RM",1854.76858590864
"375",1995,"D3","4-RM",2675.45426427195
"376",1995,"D3","5-RM",3245.53224899709
"377",1995,"D5","3-RM",1855.92573336033
"378",1995,"D5","4-RM",2534.74773683863
"379",1995,"D5","5-RM",3100.43086419739
"380",1995,"D5","EXEC",3332.47946922315
"381",1996,"D1","2-RM",2001.12215493827
"382",1996,"D1","3-RM",3049.57772203558
"383",1996,"D1","4-RM",3699.70040145667
"384",1996,"D1","5-RM",3610.01646160063
"385",1996,"D10","3-RM",2651.20603164161
"386",1996,"D10","4-RM",3648.95936036151
"387",1996,"D10","5-RM",4250.91959394403
"388",1996,"D10","EXEC",4501.5674322004
"389",1996,"D12","2-RM",2284.37645708697
"390",1996,"D12","3-RM",2626.55300924022
"391",1996,"D12","4-RM",3216.09444601461
