Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2938000,-,2022-08,2422,1213
BAROSSA GARDENS,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2680000,01 to 05,2022-03,1981,1353
THE VISION,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2008,3380000,-,2022-03,4962,681
WATERFRONT @ FABER,FABER WALK,Strata Terrace,D5,OCR,99 yrs lease commencing from 2013,2950000,-,2022-03,2949,1000
TERESA 8,BUKIT TERESA CLOSE,Strata Terrace,D4,RCR,Freehold,2975000,-,2022-03,2906,1024
SEAHILL,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2011,3810600,-,2022-03,3627,1050
LANDED HOUSING DEVELOPMENT,PASIR PANJANG HILL,Strata Terrace,D5,RCR,Freehold,5248000,-,2022-02,6082,863
LYNNSVILLE 331,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2500000,-,2022-01,3003,832
WATERFRONT @ FABER,FABER WALK,Strata Terrace,D5,OCR,99 yrs lease commencing from 2013,2880000,-,2021-12,2949,976
THE VISION,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2008,3350000,-,2021-11,4962,675
BAROSSA GARDENS,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2400000,01 to 05,2021-10,2077,1155
SEAHILL,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2011,4728936,-,2021-10,3832,1234
WATERFRONT @ FABER,FABER WALK,Strata Terrace,D5,OCR,99 yrs lease commencing from 2013,2830000,-,2021-10,2949,959
SERANGOON GARDEN ESTATE,MEDWAY DRIVE,Terrace,D19,OCR,Freehold,4050000,-,2022-10,1916,2109
BEDOK PESARI,JALAN GREJA,Semi-detached,D16,OCR,Freehold,5600000,-,2022-10,4176,1339
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2181000,-,2022-10,2056,1060
LANDED HOUSING DEVELOPMENT,HOW SUN AVENUE,Terrace,D19,OCR,Freehold,3434000,-,2022-10,1281,2681
LANDED HOUSING DEVELOPMENT,SENNETT TERRACE,Terrace,D16,OCR,Freehold,4280000,-,2022-10,3240,1321
LANDED HOUSING DEVELOPMENT,JALAN TELITI,Semi-detached,D19,OCR,Freehold,7900000,-,2022-10,4176,1887
THOMSON HILLS ESTATE,THOMSON HILLS DRIVE,Terrace,D20,OCR,Freehold,4250000,-,2022-10,2260,1874
PARRY GREEN,LIMBOK TERRACE,Semi-detached,D19,OCR,99 yrs lease commencing from 1996,2800000,-,2022-10,3444,813
BEAUTY GARDEN,LORONG BUANG KOK,Terrace,D19,OCR,999 yrs lease commencing from 1879,2980000,-,2022-10,1991,1490
CHARLTON PARK,SURIN AVENUE,Terrace,D19,OCR,Freehold,2250000,-,2022-10,1615,1386
CLOVER PARK,CLOVER AVENUE,Terrace,D20,RCR,Freehold,5.00E+06,-,2022-10,2637,1895
LIRIA TERRACE,MARIAM WALK,Terrace,D17,OCR,Freehold,2550000,-,2022-10,1679,1519
THOMSON GARDEN ESTATE,JALAN HARI RAYA,Terrace,D20,RCR,Freehold,3630000,-,2022-10,1690,2138
SOO CHOW GARDEN,SOO CHOW GARDEN ROAD,Terrace,D20,RCR,Freehold,6250000,-,2022-10,2605,2393
LANDED HOUSING DEVELOPMENT,LUCKY GARDENS,Terrace,D16,OCR,Freehold,4180000,-,2022-10,1798,2313
SOO CHOW GARDEN,SOO CHOW DRIVE,Terrace,D20,RCR,Freehold,4000888,-,2022-10,1841,2170
LIMAU VILLAS,LIMAU RISE,Terrace,D16,OCR,99 yrs lease commencing from 1996,2188000,-,2022-10,1615,1355
PARRYVILLE,POH HUAT DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1883,3708000,-,2022-10,1819,2038
EXCELSIOR GARDENS,MINARET WALK,Terrace,D16,OCR,Freehold,3600000,-,2022-10,1615,2230
LANDED HOUSING DEVELOPMENT,PHILLIPS AVENUE,Detached,D19,OCR,999 yrs lease commencing from 1886,1.30E+07,-,2022-10,11195,1161
SEA BREEZE TERRACE,SEA BREEZE AVENUE,Terrace,D16,OCR,Freehold,1500000,-,2022-10,1862,806
CHOON SING GARDEN,JALAN BINCHANG,Semi-detached,D20,RCR,Freehold,6600000,-,2022-10,3714,1773
LANDED HOUSING DEVELOPMENT,LUCKY VIEW,Semi-detached,D16,OCR,Freehold,5.00E+06,-,2022-10,3272,1526
LANDED HOUSING DEVELOPMENT,SIMON PLACE,Semi-detached,D19,OCR,Freehold,4850000,-,2022-10,4833,1003
LANDED HOUSING DEVELOPMENT,PHILLIPS AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1886,4250000,-,2022-09,2820,1504
PEOPLE'S GARDEN,LORONG 6 REALTY PARK,Terrace,D19,OCR,999 yrs lease commencing from 1876,3200000,-,2022-09,1819,1751
SERANGOON GARDEN ESTATE,WORTHING ROAD,Detached,D19,OCR,999 yrs lease commencing from 1955,5600000,-,2022-09,5059,1106
EAST COAST HILL,SENNETT AVENUE,Terrace,D16,OCR,Freehold,5450000,-,2022-09,2680,2032
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,Semi-detached,D19,OCR,Freehold,3998888,-,2022-09,2153,1849
LANDED HOUSING DEVELOPMENT,MERAGI TERRACE,Terrace,D16,OCR,999 yrs lease commencing from 1885,4680000,-,2022-09,4252,1099
TOH ESTATE,TOH CRESCENT,Semi-detached,D17,OCR,Freehold,3900000,-,2022-09,3315,1176
LANDED HOUSING DEVELOPMENT,BRIGHTON AVENUE,Semi-detached,D19,OCR,Freehold,6180000,-,2022-09,5102,1210
THOMSON HILLS ESTATE,THOMSON CLOSE,Semi-detached,D20,OCR,Freehold,5800000,-,2022-09,3875,1494
SIEW LIM PARK,BEDOK LANE,Semi-detached,D16,OCR,Freehold,6250000,-,2022-09,5942,1051
SERANGOON GARDEN ESTATE,BLOXHOME DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,4600000,-,2022-09,2809,1637
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2050000,-,2022-09,1615,1270
SERANGOON GARDEN ESTATE,BLANDFORD DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1955,6220000,-,2022-09,2799,2222
PEOPLE'S GARDEN,LORONG 7 REALTY PARK,Terrace,D19,OCR,999 yrs lease commencing from 1876,3200000,-,2022-09,1884,1695
LOYANG VILLAS,LOYANG VIEW,Terrace,D17,OCR,99 yrs lease commencing from 1993,2030000,-,2022-09,1615,1257
CHARLTON PARK,JALAN MASTULI,Terrace,D19,OCR,Freehold,3380000,-,2022-09,1927,1745
YEW LIAN PARK,TAMAN PERMATA,Terrace,D20,RCR,Freehold,5.00E+06,-,2022-09,2648,1884
VALVISTA,CHUAN VIEW,Terrace,D19,OCR,99 yrs lease commencing from 2001,2850000,-,2022-09,1733,1643
SEMBAWANG HILLS ESTATE,NEMESU AVENUE,Terrace,D20,OCR,Freehold,2550000,-,2022-09,1496,1699
BEAUTY GARDEN,PUNGGOL ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1879,4265000,-,2022-09,2713,1569
SEMBAWANG HILLS ESTATE,CASUARINA ROAD,Terrace,D20,OCR,Freehold,3680000,-,2022-09,1518,2425
PARRY PARK,PARRY TERRACE,Terrace,D19,OCR,999 yrs lease commencing from 1877,3500000,-,2022-09,1679,2082
CHUAN GREEN,CHUAN VIEW,Terrace,D19,OCR,99 yrs lease commencing from 2001,3.00E+06,-,2022-09,1744,1716
NANYANG PARK,JALAN LIMBOK,Semi-detached,D19,OCR,999 yrs lease commencing from 1881,3600000,-,2022-09,3251,1106
SERANGOON GARDEN ESTATE,BODMIN DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,4100000,-,2022-09,2788,1466
GOLDEN HILL ESTATE,LI HWAN TERRACE,Terrace,D19,OCR,Freehold,3500000,-,2022-09,1668,2087
SERANGOON GARDEN ESTATE,BERWICK DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1955,5206000,-,2022-09,2530,2055
PARK VILLAS,PARK VILLAS GREEN,Terrace,D19,OCR,99 yrs lease commencing from 1994,2300000,-,2022-09,1615,1424
LANDED HOUSING DEVELOPMENT,JALAN TANI,Terrace,D19,OCR,999 yrs lease commencing from 1875,3800000,-,2022-09,2562,1478
PALM GROVE TERRACE,FLOWER ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1878,3630000,-,2022-09,1690,2144
PEAKVIEW ESTATE,PEAKVILLE AVENUE,Terrace,D16,OCR,Freehold,3080000,-,2022-09,1765,1738
THOMSON HILLS ESTATE,SEMBAWANG HILLS DRIVE,Terrace,D20,OCR,Freehold,3.00E+06,-,2022-09,2002,1493
LANDED HOUSING DEVELOPMENT,EASTWOOD ROAD,Semi-detached,D16,OCR,99 yrs lease commencing from 1995,3350000,-,2022-09,3488,959
LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT,Semi-detached,D16,OCR,Freehold,5300000,-,2022-09,4004,1323
LANDED HOUSING DEVELOPMENT,HARVEY AVENUE,Detached,D16,OCR,Freehold,14680000,-,2022-09,9720,1510
LANDED HOUSING DEVELOPMENT,CHIAP GUAN AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1876,5750000,-,2022-09,2831,2029
SEMBAWANG HILLS ESTATE,JALAN LEBAN,Semi-detached,D20,OCR,Freehold,6150000,-,2022-09,3348,1835
TIVOLI GARDENS,TAI KENG GARDENS,Terrace,D19,OCR,99 yrs lease commencing from 1996,2588000,-,2022-09,1733,1487
SERANGOON GARDEN ESTATE,HUDDINGTON AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1953,5400000,-,2022-09,2960,1818
SERANGOON GARDEN ESTATE,BRAEMAR DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,6450000,-,2022-09,2799,2302
PASIR RIS BEACH PARK,PASIR RIS HEIGHTS,Terrace,D18,OCR,99 yrs lease commencing from 1978,2400000,-,2022-09,3391,707
LANDED HOUSING DEVELOPMENT,JALAN POKOK SERUNAI,Semi-detached,D16,OCR,Freehold,4218000,-,2022-09,3671,1149
PEAKVIEW ESTATE,JALAN PARI KIKIS,Semi-detached,D16,OCR,Freehold,4280000,-,2022-09,3294,1296
SIEW LIM PARK,UPPER BEDOK ROAD,Semi-detached,D16,OCR,Freehold,7338889,-,2022-09,3466,2117
SERANGOON GARDEN ESTATE,BRAEMAR DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1956,5528000,-,2022-09,2799,1971
THOMSON GARDEN ESTATE,JALAN CHEGAR,Terrace,D20,RCR,Freehold,2435000,-,2022-09,915,2661
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2600000,-,2022-09,1615,1610
SERANGOON GARDEN ESTATE,RAGLAN GROVE,Detached,D19,OCR,999 yrs lease commencing from 1953,7200000,-,2022-08,4618,1557
PEOPLE'S GARDEN,LORONG 1 REALTY PARK,Terrace,D19,OCR,999 yrs lease commencing from 1879,3280000,-,2022-08,3531,927
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1900000,-,2022-08,1776,1064
LANDED HOUSING DEVELOPMENT,SENNETT ROAD,Semi-detached,D16,OCR,Freehold,6366000,-,2022-08,5673,1120
PARRY PARK,PARRY TERRACE,Terrace,D19,OCR,999 yrs lease commencing from 1877,3680000,-,2022-08,1615,2273
GRACE PARK,GRACE PARK,Semi-detached,D19,OCR,Freehold,4588888,-,2022-08,3057,1498
LANDED HOUSING DEVELOPMENT,JALAN CHEMPAKA KUNING,Terrace,D16,OCR,70 yrs lease commencing from 1964,590000,-,2022-08,2626,224
TAI PENG GARDENS,JALAN RENGKAM,Terrace,D19,OCR,Freehold,3280000,-,2022-08,2024,1614
FULTON HILL,FULTON ROAD,Terrace,D20,RCR,Freehold,4080000,-,2022-08,2896,1405
LANDED HOUSING DEVELOPMENT,DIX ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1876,5380000,-,2022-08,3197,1683
BENA PARK,JALAN PERNAMA,Semi-detached,D17,OCR,Freehold,4300000,-,2022-08,4618,930
WESTLAKE GARDENS,WESTLAKE AVENUE,Detached,D20,RCR,Freehold,8680000,-,2022-08,8181,1060
PAYA LEBAR GARDENS,JALAN USAHA,Terrace,D19,OCR,Freehold,3200000,-,2022-08,1615,1973
GLASGOW GREEN,GLASGOW ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1876,3760000,-,2022-08,1615,2319
SEMBAWANG HILLS ESTATE,JALAN CHENGAM,Terrace,D20,OCR,Freehold,3458888,-,2022-08,2121,1631
PEOPLE'S GARDEN,LORONG 6 REALTY PARK,Terrace,D19,OCR,999 yrs lease commencing from 1876,3135000,-,2022-08,1894,1654
THOMSON RIDGE,THOMSON RIDGE,Semi-detached,D20,RCR,Freehold,5600000,-,2022-08,3283,1701
PROSPER GARDENS,BEDOK GARDEN,Terrace,D16,OCR,Freehold,4.00E+06,-,2022-08,2077,1919
LOYANG VILLAS,LOYANG VIEW,Terrace,D17,OCR,99 yrs lease commencing from 1993,1635000,-,2022-08,1615,1013
CHARLTON PARK,TAMAN SIREH,Terrace,D19,OCR,Freehold,3820000,-,2022-08,2228,1711
SERANGOON GARDEN PARK,JALAN PACHELI,Terrace,D19,OCR,Freehold,3330000,-,2022-08,2077,1601
LANDED HOUSING DEVELOPMENT,KEW DRIVE,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,3.00E+06,-,2022-08,2605,1151
THOMSON GARDEN ESTATE,JALAN CHEMPAH,Terrace,D20,RCR,Freehold,2410000,-,2022-08,893,2698
ADELPHI PARK ESTATE,JASMINE ROAD,Terrace,D20,RCR,Freehold,3388000,-,2022-08,1550,2174
LANDED HOUSING DEVELOPMENT,RICHARDS AVENUE,Detached,D19,OCR,Freehold,4988000,-,2022-08,3488,1426
AVILA TERRACE,MARIAM WAY,Terrace,D17,OCR,Freehold,3908000,-,2022-08,2766,1408
PEOPLE'S GARDEN,LORONG 5 REALTY PARK,Terrace,D19,OCR,999 yrs lease commencing from 1876,5.00E+06,-,2022-08,2766,1805
HOMES AT EASTWOOD PLACE,EASTWOOD PLACE,Terrace,D16,OCR,99 yrs lease commencing from 1995,2230000,-,2022-08,1894,1174
GUAN SOON TERRACE,GUAN SOON AVENUE,Terrace,D16,OCR,Freehold,3020000,-,2022-08,1658,1819
SERANGOON GARDEN ESTATE,BRAEMAR DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,6608000,-,2022-08,2799,2360
THOMSON GARDEN ESTATE,JALAN KUAK,Terrace,D20,RCR,Freehold,2800000,-,2022-08,883,3165
SERANGOON GARDEN ESTATE,CARISBROOKE GROVE,Detached,D19,OCR,999 yrs lease commencing from 1991,12280000,-,2022-08,14370,854
SERANGOON GARDEN ESTATE,BURGHLEY DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1955,5818000,-,2022-08,2949,1968
LANDED HOUSING DEVELOPMENT,SIMON LANE,Terrace,D19,OCR,Freehold,4200000,-,2022-08,1604,2606
VALVISTA,CHUAN VIEW,Terrace,D19,OCR,99 yrs lease commencing from 2001,2750000,-,2022-08,1733,1585
CORAL PARK,PEMIMPIN PLACE,Semi-detached,D20,RCR,Freehold,5450000,-,2022-08,3348,1625
LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT,Semi-detached,D16,OCR,Freehold,5800000,-,2022-08,3003,1929
LANDED HOUSING DEVELOPMENT,HARVEY AVENUE,Detached,D16,OCR,Freehold,10580000,-,2022-08,9709,1089
SERANGOON GARDEN ESTATE,BORTHWICK DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,4050000,-,2022-08,1679,2410
SERANGOON GARDEN ESTATE,WALMER DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1953,5680000,-,2022-08,4413,1286
SEMBAWANG HILLS ESTATE,JALAN RUKAM,Semi-detached,D20,OCR,Freehold,4380000,-,2022-08,3294,1329
FLORENCE GROVE,FLORENCE CLOSE,Terrace,D19,OCR,Freehold,4650000,-,2022-08,1679,2759
TIVOLI GARDENS,TAI KENG GARDENS,Terrace,D19,OCR,99 yrs lease commencing from 1996,2400000,-,2022-08,1615,1486
LANDED HOUSING DEVELOPMENT,JALAN BUNGA RAMPAI,Terrace,D19,RCR,Freehold,3508000,-,2022-08,1765,1984
CHARLTON PARK,JALAN SONGKET,Semi-detached,D19,OCR,Freehold,4600000,-,2022-08,3498,1314
HAPPY ESTATE,THOMSON HEIGHTS,Semi-detached,D20,OCR,Freehold,4500000,-,2022-08,3358,1339
TAI HWAN GARDEN,TAI HWAN GROVE,Terrace,D19,OCR,Freehold,3680000,-,2022-08,2034,1809
LANDED HOUSING DEVELOPMENT,LORONG GAMBIR,Semi-detached,D19,OCR,Freehold,4720000,-,2022-08,2616,1803
THOMSON HILLS ESTATE,SEMBAWANG HILLS DRIVE,Terrace,D20,OCR,Freehold,3128000,-,2022-08,2013,1554
SEMBAWANG HILLS ESTATE,CASUARINA ROAD,Terrace,D20,OCR,Freehold,4200000,-,2022-07,1496,2799
SERANGOON GARDEN ESTATE,CROWHURST DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1953,6500000,-,2022-07,4198,1548
JADE VINE GARDENS,KANG CHOO BIN WALK,Terrace,D19,OCR,999 yrs lease commencing from 1883,3950000,-,2022-07,1938,2031
FULTON HILL,FULTON ROAD,Terrace,D20,RCR,999 yrs lease commencing from 1991,3800000,-,2022-07,1776,2132
CHUAN TERRACE,CHUAN TERRACE,Terrace,D19,OCR,Freehold,3930000,-,2022-07,2056,1911
AVILA TERRACE,MARIAM WAY,Terrace,D17,OCR,Freehold,3500000,-,2022-07,2723,1282
LANDED HOUSING DEVELOPMENT,JALAN RINDU,Terrace,D19,OCR,Freehold,4700000,-,2022-07,3455,1359
SERANGOON GARDEN ESTATE,COWDRAY AVENUE,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,3600000,-,2022-07,2164,1664
SERANGOON GARDEN ESTATE,BROCKHAMPTON DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1956,4030000,-,2022-07,2809,1432
LANDED HOUSING DEVELOPMENT,KANG CHOO BIN ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1883,3935000,-,2022-07,1970,1992
HAUS@SERANGOON GARDEN,SERANGOON GARDEN RISE,Terrace,D19,OCR,99 yrs lease commencing from 2011,2860000,-,2022-07,1615,1771
THE RIVERINA,RIVERINA CRESCENT,Terrace,D18,OCR,99 yrs lease commencing from 1996,2580000,-,2022-07,2196,1175
BUKIT LOYANG ESTATE,JALAN CHELAGI,Semi-detached,D17,OCR,Freehold,4168000,-,2022-07,3606,1155
SERANGOON GARDEN ESTATE,KENSINGTON PARK ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1955,3800000,-,2022-07,2691,1408
LANDED HOUSING DEVELOPMENT,JALAN CHERMAT,Terrace,D19,OCR,Freehold,3180000,-,2022-07,1873,1695
GREEN PARK,JALAN LIMAU KASTURI,Terrace,D16,OCR,999 yrs lease commencing from 1878,3300000,-,2022-07,1970,1669
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2200000,-,2022-07,2034,1081
YEW LIAN PARK,TAMAN PERMATA,Terrace,D20,RCR,Freehold,4500000,-,2022-07,2723,1652
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2155000,-,2022-07,1615,1335
THE RIVERINA,RIVERINA WALK,Terrace,D18,OCR,99 yrs lease commencing from 1996,2380000,-,2022-07,1615,1470
LANDED HOUSING DEVELOPMENT,UPPER CHANGI ROAD,Terrace,D16,OCR,Freehold,3500000,-,2022-07,1701,2051
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1890000,-,2022-07,2034,929
HARVEY VIEW,HARVEY CRESCENT,Terrace,D16,OCR,Freehold,3570000,-,2022-07,2110,1685
LANDED HOUSING DEVELOPMENT,HAI SING CRESCENT,Semi-detached,D19,OCR,999 yrs lease commencing from 1876,4300000,-,2022-07,2368,1811
PONGGOL PARK,PONGGOL SEVENTEENTH AVENUE,Detached,D19,OCR,Freehold,6250000,-,2022-07,6157,1015
TOH ESTATE,TOH DRIVE,Semi-detached,D17,OCR,Freehold,5.00E+06,-,2022-07,3843,1299
LANDED HOUSING DEVELOPMENT,HOW SUN ROAD,Terrace,D19,OCR,Freehold,4480000,-,2022-07,2250,1985
SEMBAWANG HILLS ESTATE,NEMESU AVENUE,Terrace,D20,OCR,Freehold,3450000,-,2022-07,1496,2299
LANDED HOUSING DEVELOPMENT,LUCKY GARDENS,Terrace,D16,OCR,Freehold,3760000,-,2022-07,1798,2080
LANDED HOUSING DEVELOPMENT,JALAN RINDU,Terrace,D19,OCR,Freehold,4500000,-,2022-07,3466,1297
LANDED HOUSING DEVELOPMENT,THRIFT DRIVE,Terrace,D19,OCR,Freehold,3618000,-,2022-07,2282,1581
GABRIEL VILLAS,SERANGOON AVENUE 1,Semi-detached,D19,OCR,99 yrs lease commencing from 1993,3.00E+06,-,2022-07,3444,869
TAI HWAN GARDEN,TAI HWAN TERRACE,Terrace,D19,OCR,Freehold,4050000,-,2022-07,2594,1557
THOMSON GARDEN ESTATE,JALAN CHEGAR,Terrace,D20,RCR,Freehold,2280000,-,2022-07,915,2492
GUAN SOON VILLAS,GUAN SOON AVENUE,Terrace,D16,OCR,Freehold,3600000,-,2022-07,2476,1450
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2300000,-,2022-07,1625,1408
KEW VALE,KEW AVENUE,Terrace,D16,OCR,99 yrs lease commencing from 1994,1900000,-,2022-07,1711,1107
LANDED HOUSING DEVELOPMENT,JOON HIANG ROAD,Terrace,D19,OCR,Freehold,2800000,-,2022-07,1841,1518
SERANGOON GARDEN ESTATE,BURGHLEY DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1956,4190000,-,2022-07,2799,1497
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Terrace,D19,OCR,Freehold,3750000,-,2022-07,2142,1747
CHARLTON PARK,JALAN MASTULI,Terrace,D19,OCR,Freehold,4500000,-,2022-07,2648,1698
BUKIT LOYANG ESTATE,JALAN CHELAGI,Semi-detached,D17,OCR,Freehold,4.00E+06,-,2022-07,3380,1183
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1980000,-,2022-07,1647,1196
THOMSON GARDEN ESTATE,JALAN ISNIN,Terrace,D20,RCR,Freehold,3100000,-,2022-07,1916,1610
SERANGOON GARDEN ESTATE,BRAEMAR DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,3980000,-,2022-07,2809,1413
HENLEY GARDENS,JALAN ARIF,Terrace,D19,OCR,99 yrs lease commencing from 1996,2810000,-,2022-07,2368,1183
KEW VALE,KEW CRESCENT,Terrace,D16,OCR,99 yrs lease commencing from 1994,2500000,-,2022-07,1711,1460
SERANGOON GARDEN ESTATE,ALNWICK ROAD,Semi-detached,D19,OCR,999 yrs lease commencing from 1953,5500000,-,2022-07,4704,1169
LOYANG VILLAS,LOYANG VIEW,Terrace,D17,OCR,99 yrs lease commencing from 1993,2510000,-,2022-07,1615,1555
LANDED HOUSING DEVELOPMENT,JALAN TANJONG,Terrace,D16,OCR,Freehold,4500000,-,2022-07,3810,1179
CHIP THYE GARDEN,YIO CHU KANG GARDENS,Terrace,D20,OCR,Freehold,3300000,-,2022-07,1884,1747
LANDED HOUSING DEVELOPMENT,LORONG PAYA LEBAR,Terrace,D19,RCR,Freehold,3180000,-,2022-07,1335,2367
HOMES AT EASTWOOD PLACE,EASTWOOD PLACE,Terrace,D16,OCR,99 yrs lease commencing from 1995,3180000,-,2022-07,2669,1188
EAST VIEW GARDEN,UPPER CHANGI ROAD EAST,Semi-detached,D16,OCR,Freehold,4280000,-,2022-07,4080,1049
LUCKY HILL,JALAN LANGGAR BEDOK,Terrace,D16,OCR,Freehold,3840000,-,2022-07,1841,2079
THE RIVERINA,RIVERINA CRESCENT,Terrace,D18,OCR,99 yrs lease commencing from 1996,2058000,-,2022-06,1615,1275
BEDOKVILLE,JALAN LIMAU NIPIS,Semi-detached,D16,OCR,999 yrs lease commencing from 1878,4980000,-,2022-06,4015,1240
LANDED HOUSING DEVELOPMENT,JALAN RINDU,Terrace,D19,OCR,99 yrs lease commencing from 1993,2350000,-,2022-06,2056,1139
EAST VIEW GARDEN,JALAN PERGAM,Semi-detached,D16,OCR,Freehold,4150000,-,2022-06,3671,1130
CLASSICAL TERRACE,JALAN RINDU,Semi-detached,D19,OCR,99 yrs lease commencing from 1993,3035000,-,2022-06,2616,1160
CHOON SING GARDEN,JALAN BINCHANG,Semi-detached,D20,RCR,Freehold,5280000,-,2022-06,2777,1896
WINDSOR PARK ESTATE,WINDSOR PARK ROAD,Terrace,D20,RCR,Freehold,4150000,-,2022-06,2034,2032
TOH ESTATE,CHIN TERRACE,Terrace,D17,OCR,Freehold,3350000,-,2022-06,2691,1241
HAUS@SERANGOON GARDEN,SERANGOON GARDEN CLOSE,Terrace,D19,OCR,99 yrs lease commencing from 2011,3100000,-,2022-06,1615,1920
LOWLAND VIEW,RICHARDS AVENUE,Terrace,D19,OCR,Freehold,3130000,-,2022-06,1679,1864
LANDED HOUSING DEVELOPMENT,BEDOK ROAD,Terrace,D16,OCR,Freehold,3768888,-,2022-06,1658,2271
BENA PARK,JALAN PERNAMA,Semi-detached,D17,OCR,Freehold,3708000,-,2022-06,3595,1029
LANDED HOUSING DEVELOPMENT,THRIFT DRIVE,Terrace,D19,OCR,Freehold,3050000,-,2022-06,1647,1850
LANDED HOUSING DEVELOPMENT,LIMAU GROVE,Terrace,D16,OCR,Freehold,3850000,-,2022-06,1679,2288
LANDED HOUSING DEVELOPMENT,JALAN MAHIR,Terrace,D19,OCR,Freehold,3400000,-,2022-06,1647,2063
EAST COAST HILL,SENNETT AVENUE,Semi-detached,D16,OCR,Freehold,5580000,-,2022-06,4585,1216
ADELPHI PARK ESTATE,GARDENIA ROAD,Semi-detached,D20,RCR,Freehold,5600000,-,2022-06,2390,2334
CLOVER PARK,CLOVER WAY,Terrace,D20,RCR,Freehold,4450000,-,2022-06,2637,1685
LANDED HOUSING DEVELOPMENT,HOW SUN AVENUE,Terrace,D19,OCR,Freehold,2360000,-,2022-06,1270,1849
LANDED HOUSING DEVELOPMENT,RIVIERA DRIVE,Terrace,D16,OCR,Freehold,5660000,-,2022-06,3897,1449
LUCKY HILL,BEDOK TERRACE,Terrace,D16,OCR,999 yrs lease commencing from 1878,3620000,-,2022-06,1873,1927
LANDED HOUSING DEVELOPMENT,UPPER CHANGI ROAD,Semi-detached,D16,OCR,Freehold,5432880,-,2022-06,3003,1806
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1850000,-,2022-06,2034,909
BEAUTY GARDEN,PUNGGOL ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1879,3100000,-,2022-06,2530,1225
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2650000,-,2022-06,3875,683
SERANGOON GARDEN ESTATE,COWDRAY AVENUE,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,4548000,-,2022-06,2164,2098
