Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
LILYDALE,YISHUN AVENUE 6,Executive Condominium,D27,OCR,99 yrs lease commencing from 2000,930000,11 to 15,2022-05,1238,751
THE CANOPY,YISHUN AVENUE 11,Executive Condominium,D27,OCR,99 yrs lease commencing from 2010,1058000,06 to 10,2022-05,1173,902
THE VISIONAIRE,CANBERRA DRIVE,Executive Condominium,D27,OCR,99 yrs lease commencing from 2015,870000,01 to 05,2022-05,850,1023
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1460000,06 to 10,2022-05,1238,1179
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1008000,01 to 05,2022-05,904,1115
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1260000,01 to 05,2022-05,1055,1194
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1228000,06 to 10,2022-05,1141,1076
THE BROWNSTONE,CANBERRA DRIVE,Executive Condominium,D27,OCR,99 yrs lease commencing from 2014,982000,01 to 05,2022-05,915,1073
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,850000,11 to 15,2022-05,753,1128
1 CANBERRA,CANBERRA DRIVE,Executive Condominium,D27,OCR,99 yrs lease commencing from 2012,1150000,06 to 10,2022-05,1044,1101
1 CANBERRA,CANBERRA DRIVE,Executive Condominium,D27,OCR,99 yrs lease commencing from 2012,1165000,11 to 15,2022-05,1012,1151
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1338888,06 to 10,2022-05,1141,1173
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1750000,06 to 10,2022-05,1528,1145
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1.00E+06,01 to 05,2022-05,915,1093
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1088000,01 to 05,2022-05,1044,1042
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1098000,11 to 15,2022-05,915,1200
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1452888,01 to 05,2022-04,1292,1125
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1138888,06 to 10,2022-04,1044,1091
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1538888,06 to 10,2022-04,1313,1172
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1235000,06 to 10,2022-04,1044,1183
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1180000,06 to 10,2022-04,1055,1119
THE CANOPY,YISHUN AVENUE 11,Executive Condominium,D27,OCR,99 yrs lease commencing from 2010,1130000,01 to 05,2022-04,1173,963
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1840000,01 to 05,2022-04,1593,1155
1 CANBERRA,CANBERRA DRIVE,Executive Condominium,D27,OCR,99 yrs lease commencing from 2012,1.00E+06,06 to 10,2022-04,958,1044
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1070000,11 to 15,2022-04,904,1183
THE CANOPY,YISHUN AVENUE 11,Executive Condominium,D27,OCR,99 yrs lease commencing from 2010,860000,01 to 05,2022-04,1001,859
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1275000,06 to 10,2022-04,1087,1173
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1300000,06 to 10,2022-04,1141,1139
1 CANBERRA,CANBERRA DRIVE,Executive Condominium,D27,OCR,99 yrs lease commencing from 2012,1100000,11 to 15,2022-04,1055,1043
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1300000,11 to 15,2022-04,1055,1232
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,990000,01 to 05,2022-04,915,1082
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1438000,06 to 10,2022-04,1238,1162
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1337000,11 to 15,2022-04,1141,1172
