Property.Name.,District.,Property.Type.,Model.,Asking.,Predicted.Rent.,Area.Builtup,PSF.,Bedrooms.,Bedrooms.Additional,Floor.Description,Floor.,Area.Land,PSF_land.,Address.,PostalCode,Developer.,Bathrooms.,Built.Year.,Tenure.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,No..of.Units.,lon,lat,is_HDB
Duo Residences, D7 - Beach Road / Bugis / Rochor ,Apartment,Apartment,4797900,2173.020105,1528,3140,4,NA,NA,43,NA,NA,1 Fraser Street (189350),189350,Ophir-Rochor Residential Pte. Ltd.,3,NA,LEASEHOLD/99 years,"Gymnasium, Sky Pool, Outdoor Living Room, Aqua Gym Equipment, Patio Gym, Sun Deck, Kid's Play Area, Reflective Pool, Jacuzzi, Teppanyaki Terraces, Function Room, Children's Pool, 50M Lap Pool With Spa Seats, City View, Original Condition, Park/greenery View, Air Conditioning, Cooker Hob/hood, Intercom, Jacuzzi, Water Heater, Balcony, Walk-in-wardrobe","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,660,103.858441,1.2994723,No
Duo Residences, D7 - Beach Road / Bugis / Rochor ,Apartment,Apartment,3727232,3109.944145,1927,1934,4,1,NA,47,NA,NA,1 Fraser Street (189350),189350,Ophir-Rochor Residential Pte. Ltd.,4,2017,LEASEHOLD/99 years,"Kid's Play Area, Sky Pool, Jacuzzi, Gymnasium, 50M Lap Pool With Spa Seats, Sun Deck, Patio Gym, Function Room, Aqua Gym Equipment, Children's Pool, Teppanyaki Terraces, Outdoor Living Room, Reflective Pool, Corner Unit, City View, Renovated, Air Conditioning, Hairdryer, Intercom, Water Heater, Cooker Hob/hood, Balcony, Maidsroom, Walk-in-wardrobe","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,660,103.858441,1.2994723,No
6 Derbyshire, D11 - Newton / Novena ,Condominium,Condominium,1774128,1043.560645,474,3743,1,NA,NA,11,NA,NA,6 Derbyshire Road (309462),309462,Fantasia (Novena) Pte Ltd,1,2017,FREEHOLD,"Gymnasium, Spa Pool, Simming Pool, Reflective Pool, Pavilion, Community Sky Garden, Bbq Pits, Children Playground, Park/greenery View, Original Condition, Air Conditioning, Hairdryer, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Not Furnished,"School Of The Arts, Singapore 1.85 km",NA,168,103.8459867,1.3157676,No
Kingsford Waterbay, D19 - Hougang / Punggol / Sengkang ,Apartment,Apartment,967877,1333.721145,678,1428,2,NA,NA,2,NA,NA,64 Upper Serangoon View (533886),533886,Kingsford Property Developments Pte Ltd,2,2017,LEASEHOLD/99 years,"Park/greenery View, Original Condition, Hairdryer, Water Heater, Balcony, Walk-in-wardrobe"," 13 mins   1.06 km, KANGKAR LRT 14 mins  SE4 1.14 km, RANGGUNG LRT 14 mins  SE5 1.17 km","Opp S'goon Sec Sch 1 min  324 50m, Serangoon Sec Sch 2 mins  6262A102136 230m","Chij Our Lady Of The Nativity 650m, Punggol Primary 1.04 km, North Vista Primary 1.23 km","Serangoon Secondary 130m, Holy Innocents' High 840m, North Vista Secondary 870m","THE MIDTOWN 1.0 km, Eastpoint Mall 1.08 km, Hougang Mall 1.08 km",Partially Furnished,NA,NA,1165,103.9026769,1.3735866,No
Kingsford Waterbay, D19 - Hougang / Punggol / Sengkang ,Apartment,Apartment,1115341,1578.346005,850,1312,3,NA,NA,8,NA,NA,64 Upper Serangoon View (533886),533886,Kingsford Property Developments Pte Ltd,2,2017,LEASEHOLD/99 years,"Original Condition, Park/greenery View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe"," 13 mins   1.06 km, KANGKAR LRT 14 mins  SE4 1.14 km, RANGGUNG LRT 14 mins  SE5 1.17 km","Opp S'goon Sec Sch 1 min  324 50m, Serangoon Sec Sch 2 mins  6262A102136 230m","Chij Our Lady Of The Nativity 650m, Punggol Primary 1.04 km, North Vista Primary 1.23 km","Serangoon Secondary 130m, Holy Innocents' High 840m, North Vista Secondary 870m","THE MIDTOWN 1.0 km, Eastpoint Mall 1.08 km, Hougang Mall 1.08 km",Partially Furnished,NA,NA,1165,103.9026769,1.3735866,No
6 Derbyshire, D11 - Newton / Novena ,Condominium,Condominium,1774128,1043.560645,474,3743,1,NA,NA,14,NA,NA,6 Derbyshire Road (309462),309462,Fantasia (Novena) Pte Ltd,1,2017,FREEHOLD,"Bbq Pits, Simming Pool, Spa Pool, Children Playground, Community Sky Garden, Reflective Pool, Pavilion, Gymnasium, Renovated, Park/greenery View, Intercom, Cooker Hob/hood, Water Heater, Air Conditioning, Balcony, Walk-in-wardrobe","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Not Furnished,"School Of The Arts, Singapore 1.85 km",NA,168,103.8459867,1.3157676,No
Gem Residences, D12 - Balestier / Toa Payoh ,Condominium,Condominium,1642000,1716.829605,947,1734,3,NA,NA,9,NA,NA,1 Lorong 5 Toa Payoh (319458),319458,Gem Homes Pte Ltd,2,2020,LEASEHOLD/99 years,"Original Condition, Park/greenery View, Swimming Pool View, Intercom, Water Heater, Air Conditioning, Cooker Hob/hood, Balcony, Walk-in-wardrobe","BRADDELL MRT 6 mins  NS18 530m, TOA PAYOH MRT 10 mins  NS19 800m, CALDECOTT MRT 15 mins  CC17TE9 1.26 km","Blk 52 2 mins  232 210m, Toa Payoh Police Ctr 2 mins  59231232129 210m, Blk 56 2 mins  23128735688105155157159163153 220m","Kheng Cheng 440m, First Toa Payoh Primary 550m, Pei Chun Public 560m","Beatty Secondary 360m, Guangyang Secondary 660m, Raffles Institution 950m","Hdb Hub 790m, Junction 8 1.33 km, JUNCTION 8 SHOPPING CENTRE 1.34 km",Partially Furnished,"Raffles Institution 950m, St. Joseph's Institution 1.49 km, Catholic High School 1.9 km",NA,578,103.8531666,1.3336887,No
Duo Residences, D7 - Beach Road / Bugis / Rochor ,Apartment,Apartment,4347088,2987.620505,1841,2361,4,NA,NA,41,NA,NA,1 Fraser Street (189350),189350,Ophir-Rochor Residential Pte. Ltd.,3,2017,LEASEHOLD/99 years,"Jacuzzi, Patio Gym, Aqua Gym Equipment, Children's Pool, Kid's Play Area, Teppanyaki Terraces, Sun Deck, Reflective Pool, Gymnasium, Sky Pool, Function Room, Outdoor Living Room, 50M Lap Pool With Spa Seats, Original Condition, City View, Air Conditioning, Intercom, Cooker Hob/hood, Balcony","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,660,103.858441,1.2994723,No
6 Derbyshire, D11 - Newton / Novena ,Condominium,Condominium,1082000,1043.560645,474,2283,1,NA,NA,24,NA,NA,6 Derbyshire Road (309462),309462,Fantasia (Novena) Pte Ltd,1,2017,FREEHOLD,"Pavilion, Children Playground, Community Sky Garden, Simming Pool, Bbq Pits, Spa Pool, Reflective Pool, Gymnasium, Swimming Pool View, Renovated, Park/greenery View, City View, Air Conditioning, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Partially Furnished,"School Of The Arts, Singapore 1.85 km",NA,168,103.8459867,1.3157676,No
Marina One Residences, D1 - Boat Quay / Raffles Place / Marina ,Apartment,Apartment,2793950,1591.308745,1119,2497,2,NA,NA,28,NA,NA,21 Marina Way (018978),18978,Ms Residential1 Pte Ltd/Ms Residential 2 Pte Ltd/Ms Commercial Pte Ltd,2,NA,LEASEHOLD/99 years,"Renovated, Park/greenery View, Original Condition, Intercom, Water Heater, Cooker Hob/hood, Air Conditioning, Balcony, Walk-in-wardrobe","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",Partially Furnished,NA,NA,1042,103.8533256,1.2766721,No
The Crest, D3 - Alexandra / Commonwealth ,Condominium,Condominium,3033000,2727.609345,1658,1829,4,NA,NA,13,NA,NA,101 Prince Charles Crescent (159017),159017,Wingcrown Investment Pte Ltd,4,2018,LEASEHOLD/99 years,"Park/greenery View, Original Condition, Corner Unit, Intercom, Water Heater, Air Conditioning, Balcony, Walk-in-wardrobe","REDHILL MRT 6 mins  EW18 540m, TIONG BAHRU MRT 13 mins  EW17 1.06 km, ORCHARD BOULEVARD MRT DUE 2021 14 mins  TE13 1.13 km","Opp Delta Sports Hall 2 mins  51970186139122 160m, Delta Sports Hall 2 mins  12213918651970 200m","Alexandra Primary 420m, Gan Eng Seng Primary 960m, Zhangde Primary 1.14 km","Crescent Girls' 330m, Gan Eng Seng 550m, Queenstown Secondary 810m","VALLEY POINT SHOPPING CENTRE 730m, Valley Point 730m, DAWSON PLACE 1.05 km",Partially Furnished,NA,NA,469,103.8204034,1.2926928,No
Sophia Hills, D9 - Orchard / River Valley ,Condominium,Condominium,2114000,1731.922005,958,2207,3,NA,NA,4,NA,NA,11 Mount Sophia (228461),228461,Hoi Hup Sunway Mount Sophia Pte Ltd,2,2017,LEASEHOLD/99 years,"Children's Water Play, Substation, Male And Female Changing And Steam Rooms, Conserved Building: Childcare/kindergarten, Reflective Pool, Yoga Decks, Internet Corner, 50M Lap Pool, Clubhouse Drop-off Plaza, Jacuzzi, Bbq Corner, Function Rooms, Pavilion, Seating Corner, Mountain Terraces, Children's Pool, Adventure Playground, Water Cascades, Jogging Path, Childcare Drop-off Plaza, Games Room, Bin Centre, Management Office, Gymnasium, Sunning Deck, Main Entrance Drop-off Plaza, Water Wall, Fitness Stations, Conserved Building: Restaurant, Toddler's Playground, Residents' Side Gate, The Sophia Mirror Pool, Vantage Deck, Lagoon Pool, Timber Deck, Guardhouse, The Sophia Grand Staircase, Lounge, Multi-purpose Media Room, Bio-pond, Steps Cascades, Park/greenery View, Original Condition, City View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe","DHOBY GHAUT MRT 3 mins  CC1NS24NE6 270m, BENCOOLEN MRT 4 mins  DT21 370m, BRAS BASAH MRT 5 mins  CC2 470m","Macdonald Hse 2 mins  139NR6NR76465 160m, Sch of the Arts 3 mins  6465139147166131857NR61N2N3N4N5N6N 240m, Dhoby Ghaut Stn 3 mins  7773636B1414e16162162M124128106111167171174174e175NR6NR7850E1N2N3N4N5N6N971E972972A190190A502502A518518A700700A951E 240m","St. Margaret's Primary 400m, Anglo-chinese School (junior) 1.14 km, Stamford Primary 1.15 km","School Of The Arts, Singapore 190m","Paradiz 230m, POMO 230m, PARKLANE SHOPPING MALL 250m",Partially Furnished,"School Of The Arts, Singapore 190m",NA,493,103.8471936,1.3002721,No
Sophia Hills, D9 - Orchard / River Valley ,Condominium,Condominium,2114000,1731.922005,958,2207,3,NA,NA,4,NA,NA,11 Mount Sophia (228461),228461,Hoi Hup Sunway Mount Sophia Pte Ltd,2,2017,LEASEHOLD/99 years,"Vantage Deck, Bio-pond, Steps Cascades, Jogging Path, Toddler's Playground, Male And Female Changing And Steam Rooms, Lagoon Pool, Main Entrance Drop-off Plaza, Bbq Corner, Internet Corner, Pavilion, Reflective Pool, Bin Centre, Guardhouse, Multi-purpose Media Room, Conserved Building: Restaurant, Conserved Building: Childcare/kindergarten, Mountain Terraces, The Sophia Mirror Pool, Gymnasium, Function Rooms, Childcare Drop-off Plaza, Water Wall, Children's Pool, Sunning Deck, Children's Water Play, Adventure Playground, 50M Lap Pool, Yoga Decks, Water Cascades, Residents' Side Gate, Jacuzzi, Seating Corner, Games Room, Management Office, Substation, The Sophia Grand Staircase, Clubhouse Drop-off Plaza, Fitness Stations, Lounge, Timber Deck, Park/greenery View, Original Condition, City View, Water Heater, Air Conditioning, Cooker Hob/hood, Intercom, Walk-in-wardrobe, Balcony","DHOBY GHAUT MRT 3 mins  CC1NS24NE6 270m, BENCOOLEN MRT 4 mins  DT21 370m, BRAS BASAH MRT 5 mins  CC2 470m","Macdonald Hse 2 mins  139NR6NR76465 160m, Sch of the Arts 3 mins  6465139147166131857NR61N2N3N4N5N6N 240m, Dhoby Ghaut Stn 3 mins  7773636B1414e16162162M124128106111167171174174e175NR6NR7850E1N2N3N4N5N6N971E972972A190190A502502A518518A700700A951E 240m","St. Margaret's Primary 400m, Anglo-chinese School (junior) 1.14 km, Stamford Primary 1.15 km","School Of The Arts, Singapore 190m","Paradiz 230m, POMO 230m, PARKLANE SHOPPING MALL 250m",Partially Furnished,"School Of The Arts, Singapore 190m",NA,493,103.8471936,1.3002721,No
