District.,Property.Type.,Year,avg_psf
D10,HDB 5 Rooms,2022,676.7504756
D10,HDB Executive,1992,196.2745845
D10,HDB Executive,1993,230.6077223
D10,HDB Executive,1994,273.3461873
D10,HDB Executive,1995,346.1885607
D10,HDB Executive,1996,418.2096715
D10,HDB Executive,1997,410.2655002
D10,HDB Executive,1998,348.5818669
D10,HDB Executive,1999,306.608812
D10,HDB Executive,2000,341.7423673
D10,HDB Executive,2001,333.6221382
D10,HDB Executive,2002,319.4200058
D10,HDB Executive,2003,301.2116426
D10,HDB Executive,2004,299.1191235
D10,HDB Executive,2005,267.3273937
D10,HDB Executive,2006,275.1369266
D10,HDB Executive,2007,349.6209195
D10,HDB Executive,2008,412.3952594
D10,HDB Executive,2009,398.8970759
D10,HDB Executive,2010,426.7590123
D10,HDB Executive,2011,487.81817
D10,HDB Executive,2012,521.7653453
D10,HDB Executive,2013,593.5346854
D10,HDB Executive,2014,574.2535234
D10,HDB Executive,2015,597.687734
D10,HDB Executive,2016,605.7047167
D10,HDB Executive,2017,591.2074334
D10,HDB Executive,2018,605.8112235
D10,HDB Executive,2019,607.2806325
D10,HDB Executive,2020,598.7346594
D10,HDB Executive,2021,653.8531573
D10,HDB Executive,2022,741.8533909
D12,HDB 2 Rooms,1990,38.60276015
D12,HDB 2 Rooms,1991,39.9292491
D12,HDB 2 Rooms,1992,44.22092209
D12,HDB 2 Rooms,1993,79.92720307
D12,HDB 2 Rooms,1994,109.377238
D12,HDB 2 Rooms,1995,148.4541634
D12,HDB 2 Rooms,1996,212.2257223
D12,HDB 2 Rooms,1997,270.4552121
D12,HDB 2 Rooms,1998,198.5615112
D12,HDB 2 Rooms,1999,207.4374181
D12,HDB 2 Rooms,2000,223.1617886
D12,HDB 2 Rooms,2001,202.17703
D12,HDB 2 Rooms,2002,201.7291458
D12,HDB 2 Rooms,2003,232.3212614
D12,HDB 2 Rooms,2004,241.8270462
D12,HDB 2 Rooms,2005,247.1015202
D12,HDB 2 Rooms,2006,261.3026428
D12,HDB 2 Rooms,2007,291.2501444
D12,HDB 2 Rooms,2008,345.0247019
D12,HDB 2 Rooms,2009,393.712808
D12,HDB 2 Rooms,2010,458.9775082
D12,HDB 2 Rooms,2011,544.9481825
D12,HDB 2 Rooms,2012,558.8963236
D12,HDB 2 Rooms,2013,582.5358838
D12,HDB 2 Rooms,2014,545.6033206
D12,HDB 2 Rooms,2015,550.8564302
D12,HDB 2 Rooms,2016,515.9845195
D12,HDB 2 Rooms,2017,464.298588
D12,HDB 2 Rooms,2018,448.8440651
D12,HDB 2 Rooms,2019,428.3236869
D12,HDB 2 Rooms,2020,425.8123914
D12,HDB 2 Rooms,2021,512.8275811
D12,HDB 2 Rooms,2022,561.9925775
D12,HDB 3 Rooms,1990,57.34469158
D12,HDB 3 Rooms,1991,61.00803521
D12,HDB 3 Rooms,1992,65.7802261
D12,HDB 3 Rooms,1993,99.23098161
D12,HDB 3 Rooms,1994,134.5597422
D12,HDB 3 Rooms,1995,173.6685739
D12,HDB 3 Rooms,1996,244.015018
D12,HDB 3 Rooms,1997,280.9431385
D12,HDB 3 Rooms,1998,220.7933999
D12,HDB 3 Rooms,1999,216.8507184
D12,HDB 3 Rooms,2000,227.3945625
D12,HDB 3 Rooms,2001,213.3180467
D12,HDB 3 Rooms,2002,213.7969167
D12,HDB 3 Rooms,2003,236.4578165
D12,HDB 3 Rooms,2004,251.3379377
D12,HDB 3 Rooms,2005,243.1408564
D12,HDB 3 Rooms,2006,239.2128105
D12,HDB 3 Rooms,2007,264.1933806
D12,HDB 3 Rooms,2008,323.0795805
D12,HDB 3 Rooms,2009,356.7530992
D12,HDB 3 Rooms,2010,410.4987329
D12,HDB 3 Rooms,2011,458.549566
D12,HDB 3 Rooms,2012,493.6469415
D12,HDB 3 Rooms,2013,505.3033192
D12,HDB 3 Rooms,2014,476.058224
D12,HDB 3 Rooms,2015,451.6262387
D12,HDB 3 Rooms,2016,437.5477071
D12,HDB 3 Rooms,2017,441.4031149
D12,HDB 3 Rooms,2018,406.8414225
D12,HDB 3 Rooms,2019,387.0249194
D12,HDB 3 Rooms,2020,391.8105937
D12,HDB 3 Rooms,2021,443.6222196
D12,HDB 3 Rooms,2022,518.5217155
D12,HDB 4 Rooms,1990,90.05032119
D12,HDB 4 Rooms,1991,90.76623773
D12,HDB 4 Rooms,1992,101.7785751
D12,HDB 4 Rooms,1993,143.5023989
D12,HDB 4 Rooms,1994,184.6682623
D12,HDB 4 Rooms,1995,226.106944
D12,HDB 4 Rooms,1996,298.7852458
D12,HDB 4 Rooms,1997,310.0270961
D12,HDB 4 Rooms,1998,260.4653443
D12,HDB 4 Rooms,1999,246.8397639
D12,HDB 4 Rooms,2000,267.7381857
D12,HDB 4 Rooms,2001,243.8873337
D12,HDB 4 Rooms,2002,242.3743726
D12,HDB 4 Rooms,2003,243.588902
D12,HDB 4 Rooms,2004,249.7621799
D12,HDB 4 Rooms,2005,246.4549135
D12,HDB 4 Rooms,2006,250.4070618
D12,HDB 4 Rooms,2007,275.0595038
D12,HDB 4 Rooms,2008,340.1084042
D12,HDB 4 Rooms,2009,357.3853713
D12,HDB 4 Rooms,2010,395.9077184
D12,HDB 4 Rooms,2011,459.0361491
D12,HDB 4 Rooms,2012,510.6151051
D12,HDB 4 Rooms,2013,542.1163361
D12,HDB 4 Rooms,2014,502.4565558
D12,HDB 4 Rooms,2015,489.2550329
D12,HDB 4 Rooms,2016,500.9529633
D12,HDB 4 Rooms,2017,517.4640138
D12,HDB 4 Rooms,2018,525.6004243
D12,HDB 4 Rooms,2019,503.0979153
D12,HDB 4 Rooms,2020,497.8297829
D12,HDB 4 Rooms,2021,551.7794257
D12,HDB 4 Rooms,2022,629.6788898
D12,HDB 5 Rooms,1990,109.1814373
D12,HDB 5 Rooms,1991,113.6095474
D12,HDB 5 Rooms,1992,127.615871
D12,HDB 5 Rooms,1993,185.3796796
D12,HDB 5 Rooms,1994,225.8228503
D12,HDB 5 Rooms,1995,271.4418361
D12,HDB 5 Rooms,1996,342.4403295
D12,HDB 5 Rooms,1997,343.2668209
D12,HDB 5 Rooms,1998,300.9944144
D12,HDB 5 Rooms,1999,288.0447823
D12,HDB 5 Rooms,2000,319.9836092
D12,HDB 5 Rooms,2001,304.7858403
D12,HDB 5 Rooms,2002,286.3766179
D12,HDB 5 Rooms,2003,277.6469487
D12,HDB 5 Rooms,2004,273.0236077
D12,HDB 5 Rooms,2005,258.5916767
D12,HDB 5 Rooms,2006,265.5394755
D12,HDB 5 Rooms,2007,300.748933
D12,HDB 5 Rooms,2008,356.4428153
D12,HDB 5 Rooms,2009,363.9090398
D12,HDB 5 Rooms,2010,402.9437955
D12,HDB 5 Rooms,2011,454.5562898
D12,HDB 5 Rooms,2012,496.0795818
D12,HDB 5 Rooms,2013,532.7962445
D12,HDB 5 Rooms,2014,489.6024815
D12,HDB 5 Rooms,2015,483.1544926
D12,HDB 5 Rooms,2016,489.873957
D12,HDB 5 Rooms,2017,568.2178558
D12,HDB 5 Rooms,2018,561.0513094
D12,HDB 5 Rooms,2019,536.3928719
D12,HDB 5 Rooms,2020,521.4078097
D12,HDB 5 Rooms,2021,582.3814066
D12,HDB 5 Rooms,2022,627.865182
D12,HDB Executive,1990,134.0141584
D12,HDB Executive,1991,136.191501
D12,HDB Executive,1992,152.8250913
D12,HDB Executive,1993,195.8284861
D12,HDB Executive,1994,244.0441631
D12,HDB Executive,1995,285.0731449
D12,HDB Executive,1996,375.3605932
D12,HDB Executive,1997,364.1463013
D12,HDB Executive,1998,326.9011247
D12,HDB Executive,1999,294.7263804
D12,HDB Executive,2000,318.6132676
D12,HDB Executive,2001,301.725433
D12,HDB Executive,2002,281.2726986
D12,HDB Executive,2003,277.3265802
D12,HDB Executive,2004,251.630998
D12,HDB Executive,2005,237.5213571
D12,HDB Executive,2006,238.0810781
D12,HDB Executive,2007,256.1246922
D12,HDB Executive,2008,329.2758316
D12,HDB Executive,2009,323.402556
D12,HDB Executive,2010,355.0613065
D12,HDB Executive,2011,406.3107769
D12,HDB Executive,2012,460.7275921
D12,HDB Executive,2013,468.6091244
D12,HDB Executive,2014,466.4386583
D12,HDB Executive,2015,454.622819
D12,HDB Executive,2016,484.7228145
D12,HDB Executive,2017,475.2417804
D12,HDB Executive,2018,471.6696365
D12,HDB Executive,2019,465.167876
D12,HDB Executive,2020,475.3250194
D12,HDB Executive,2021,525.1137568
D12,HDB Executive,2022,577.0398441
D14,HDB 2 Rooms,1990,36.98838333
D14,HDB 2 Rooms,1991,39.65426671
D14,HDB 2 Rooms,1992,45.50560173
D14,HDB 2 Rooms,1993,67.80646966
D14,HDB 2 Rooms,1994,88.01162085
D14,HDB 2 Rooms,1995,119.5970116
D14,HDB 2 Rooms,1996,173.4130158
D14,HDB 2 Rooms,1997,218.5626151
D14,HDB 2 Rooms,1998,165.5818894
D14,HDB 2 Rooms,1999,153.1845498
D14,HDB 2 Rooms,2000,170.0553288
D14,HDB 2 Rooms,2001,158.2677307
D14,HDB 2 Rooms,2002,162.1480436
D14,HDB 2 Rooms,2003,188.7267553
D14,HDB 2 Rooms,2004,215.8833171
D14,HDB 2 Rooms,2005,221.7607001
D14,HDB 2 Rooms,2006,232.0353605
D14,HDB 2 Rooms,2007,260.7543779
D14,HDB 2 Rooms,2008,318.2879629
D14,HDB 2 Rooms,2009,371.2674066
D14,HDB 2 Rooms,2010,429.9038974
D14,HDB 2 Rooms,2011,490.5107521
D14,HDB 2 Rooms,2012,546.2070527
