District.,Address.,Bathrooms.,Bedrooms.,Built.Year.,Developer.,Property.Name.,nearest_mrt_name,neighbourhood,PSF.,Property.Type.,Asking.,Area.Builtup,Area.Land,Tenure.,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,Furnish.,Floor.Description,overlooking_view,facing,is_HDB
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.2,Condominium,15800,2195,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,4 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.1,Condominium,12800,2099,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,High,City view,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.1,Condominium,12800,2099,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,3 Central Boulevard,4,4,2013,"Keppel Land, Cheung Kong Holdings,Hongkong Land",Marina Bay Suites,Downtown MRT,NA,8.47,Apartment,17500,2067,NA,99 Years,221,50,23,6,"2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.9,Condominium,15800,2000,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",Fully,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,2,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,8.04,Condominium,16000,1991,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.63,Condominium,25000,1980,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",Partial,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.69,Condominium,25000,1970,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",Partial,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.69,Condominium,25000,1970,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",Partial,High,Sea view,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.63,Condominium,24888,1970,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.69,Condominium,25000,1970,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.69,Condominium,25000,1970,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",Partial,High,Sea view,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.69,Condominium,25000,1970,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.76,Condominium,25000,1959,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,3,3,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,12.82,Condominium,25000,1950,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
