Property.Name.,Property.Type.,Asking.,PSF.,Built.Year.,Model.,Developer.,Address.,District.,Bedrooms.,Bathrooms.,Floor.,Area.,Tenure.,No..of.Units.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,lon,lat
Sky Habitat,Condominium,"$1,834,450 "," $1,311 psf (Built-up) ",2015,Condominium,Bishan Residential  Development Pte Ltd,7 Bishan Street 15 (573908), D20 - Ang Mo Kio / Bishan / Thomson ,3+1,NA,NA," 1,399 sqft (Built-up) ",LEASEHOLD/99 years,509,"Children's Pool, Reflection Gardens, Pool Island, Leisure Pool, Bbq / Social Areas, Tennis Viewing Garden, Tennis Court, Guard House, 50M Lap Pool, Lily Ponds, Water Wall, Entry Court, Bbq / Party Dawn, City View, Corner Unit, Air Conditioning, Balcony","BISHAN MRT 5 mins  CC15NS17 460m, LORONG CHUAN MRT STATION 17 mins  CC14 1.41 km, MARYMOUNT MRT 17 mins  CC16 1.42 km","Opp Bishan Stadium 1 min  53410W 30m, Bishan Stadium 1 min  410G53 110m","Kuo Chuan Presbyterian Primary 490m, Catholic High 800m, Guangyang Primary 810m","St. Joseph's Institution 190m, Kuo Chuan Presbyterian Secondary 440m, Catholic High 800m","JUNCTION 8 SHOPPING CENTRE 380m, Junction 8 410m, BISHAN NORTH SHOPPING MALL 1.0 km",NA,"St. Joseph's Institution 190m, Catholic High School 800m, Raffles Institution 1.0 km",NA,103.8507771,1.3519867
Bluwaters,Apartment,"$1,850,000 ", $704 psf (Built-up) ,2007,Apartment,Novelty Development Pte Ltd,195 Jalan Loyang Besar (509439), D17 - Changi Airport / Changi Village ,4,NA,NA," 2,626 sqft (Built-up) ",946 years from 23/06/1938,45,"Wadpool, Securities, Car Park, Barbecue Area, Swimming Pool, Gymnasium, Renovated, Park/greenery View, Sea View, Swimming Pool View, Corner Unit, Private Pool, Water Heater, Bathtub, Intercom, Cooker Hob/hood, Air Conditioning, Flooring For Bedroom, Air-conditioning, Flooring For Living/dining, Kitchen, Wardrobe, Balcony, Walk-in-wardrobe, Roof Terrace, Maidsroom",PASIR RIS MRT 21 mins  EW1 1.71 km,"Casa Pasir Ris 1 min  354 100m, Opp Loyang Townhouse 1 min  354 140m, Opp Coastal View 3 mins  354 250m","Pasir Ris Primary 830m, Casuarina Primary 1.06 km, Loyang Primary 1.27 km","Pasir Ris Crest Secondary 920m, Hai Sing Catholic 1.09 km, Greenview Secondary 1.16 km","DOWNTOWN EAST 1.01 km, LOYANG POINT 1.5 km, White Sands 1.69 km",NA,NA,NA,103.9632568,1.3793186
Vivace,Apartment,"$1,350,000 "," $2,024 psf (Built-up) ",2012,Apartment,Heritage @ Tong Watt Pte Ltd,19 Tong Watt Road (238011), D9 - Orchard / River Valley ,2,2,PENTHOUSE, 667 sqft (Built-up) ,999 years,85,"Corner Unit, Swimming Pool View, Renovated, Air Conditioning, Cooker Hob/hood, Intercom, Water Heater","FORT CANNING MRT 4 mins  DT20 390m, CLARKE QUAY MRT 10 mins  NE5 800m, DHOBY GHAUT MRT 10 mins  CC1NS24NE6 850m","Aft Unity St 1 min  1N2N3N4N5N6NNR3 70m, Opp Mohd Sultan Rd 2 mins  5432195139 230m, UE Sq 3 mins  NR3NR5NR6NR7NR81951N2N3N4N5N6NNR1NR21393254 240m","River Valley Primary 540m, St. Margaret's Primary 1.35 km, Anglo-chinese School (junior) 1.8 km","Outram Secondary 830m, School Of The Arts, Singapore 1.14 km","Robertson Walk 150m, UE SHOPPING MALL 230m, Liang Court 470m",Fully Furnished,"School Of The Arts, Singapore 1.14 km",NA,103.8408957,1.2928533
Helios Residences,Apartment,"$3,600,000 "," $2,742 psf (Built-up) ",2011,Apartment,Winnervest Investment Pte Ltd,17 Cairnhill Circle (229816), D9 - Orchard / River Valley ,2+1,NA,NA," 1,313 sqft (Built-up) ",FREEHOLD,140,"Air Conditioning, Cooker Hob/hood, Balcony","NEWTON MRT 8 mins  DT11NS21 640m, SOMERSET MRT 8 mins  NS23 710m, ORCHARD MRT 8 mins  NS22TE14 710m",NA,"Anglo-chinese School (junior) 500m, St. Margaret's Primary 980m, Anglo-chinese School (primary) 1.31 km","Raffles Girls' School (secondary) 1.15 km, School Of The Arts, Singapore 1.45 km, Anglo-chinese School (barker Road) 1.45 km","Paragon 330m, THE PARAGON 410m, 268 ORCHARD ROAD 450m",NA,"School Of The Arts, Singapore 1.45 km, Singapore Chinese Girls' School 1.94 km, Singapore Chinese Girls' Primary School 1.94 km",NA,103.83825,1.306752
Choa Chu Kang Crescent,HDB 5 Rooms,"$399,888 ", $338 psf (Built-up) ,2003,Improved,NA,691A Choa Chu Kang Crescent (681691),NA,3,NA,NA, 110 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Corner Unit, City View, Air Conditioning, Cooker Hob/hood, Water Heater, Bombshelter","YEW TEE MRT 7 mins  NS5 600m, CHOA CHU KANG LRT 24 mins  BP1NS4 1.96 km","Opp Blk 661 1 min  302302A9793N 60m, Opp Blk 666 2 mins  3N979302302A 230m, Regent Gr Condo 2 mins  302302A9793N 230m","Yew Tee Primary 480m, Unity Primary 570m, Kranji Primary 960m","Unity Secondary 640m, Regent Secondary 890m, Kranji Secondary 1.68 km","YEW TEE SQUARE 600m, Yew Tee Shopping Centre 710m, YEW TEE POINT 710m",NA,NA, Choa Chu Kang ,103.751315,1.401093
Alexis,Apartment,"$1,280,000 "," $1,321 psf (Built-up) ",2012,Apartment,EC Prime Pte Ltd,356 Alexandra Road (159949), D3 - Alexandra / Commonwealth ,2,2,NA, 969 sqft (Built-up) ,FREEHOLD,293,"Park/greenery View, Corner Unit, Jacuzzi, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Roof Terrace","QUEENSTOWN MRT 5 mins  EW19 420m, REDHILL MRT 13 mins  EW18 1.05 km, COMMONWEALTH MRT 20 mins  EW20 1.62 km","Opp Lea Hin Hardware Fty 1 min  1953333A64120 20m, Lea Hin Hardware Fty 1 min  33120195 60m, Queens Condo 2 mins  51111186145970NR5195 200m","Queenstown Primary 540m, Gan Eng Seng Primary 1.1 km, New Town Primary 1.24 km","Queenstown Secondary 700m, Bukit Merah Secondary 870m, Crescent Girls' 1.16 km","Anchorpoint 380m, ANCHORPOINT SHOPPING CENTRE 380m, DAWSON PLACE 440m",Partially Furnished,NA,NA,103.8074033,1.29136
Northwave,Condominium,"$738,400 ", $653 psf (Built-up) ,NA,Condominium,Hao Yuan (Woodlands) Pte Ltd,111 Woodlands View (737703), D25 - Admiralty / Woodlands ,3,2,NA," 1,130 sqft (Built-up) ",LEASEHOLD/99 years,358,"Air Conditioning, Water Heater","ADMIRALTY MRT 13 mins  NS10 1.11 km, SEMBAWANG MRT 15 mins  NS11 1.23 km","Opp 3M Bldg 1 min  965969 110m, 3M Bldg 1 min  965965A969NR2 130m","Greenwood Primary 750m, Riverside Primary 1.01 km, Canberra Primary 1.05 km","Sembawang Secondary 750m, Admiralty Secondary 920m, Spectra Secondary 1.04 km","ADMIRALTY PLACE 1.02 km, Sun Plaza 1.14 km, WOODLANDS MART 1.37 km",NA,NA,NA,103.808573,1.4424615
The Crest,Condominium,"$2,108,000 "," $1,271 psf (Built-up) ",2017,Condominium,Wingcrown Investment Pte Ltd,105 Prince Charles Crescent (159019), D3 - Alexandra / Commonwealth ,3,2,NA," 1,658 sqft (Built-up) ",LEASEHOLD/99 years,469,"Air Conditioning, Water Heater","REDHILL MRT 5 mins  EW18 460m, TIONG BAHRU MRT 14 mins  EW17 1.16 km, ORCHARD BOULEVARD MRT DUE 2021 14 mins  TE13 1.16 km","Opp Delta Sports Hall 2 mins  51970186139122 230m, Tanglin View 3 mins  13912251970186 240m","Alexandra Primary 540m, Gan Eng Seng Primary 910m, Zhangde Primary 1.22 km","Crescent Girls' 200m, Gan Eng Seng 650m, Queenstown Secondary 680m","VALLEY POINT SHOPPING CENTRE 850m, Valley Point 850m, DAWSON PLACE 930m",NA,NA,NA,103.8193166,1.292772
Gem Residences,Condominium,"$1,078,000 "," $1,590 psf (Built-up) ",NA,Condominium,GEM Homes Pte Ltd,3 Lorong 5 Toa Payoh (319459), D12 - Balestier / Toa Payoh ,2,2,NA, 678 sqft (Built-up) ,LEASEHOLD/99 years,578,"Corner Unit, Park/greenery View, City View, Air Conditioning, Water Heater","BRADDELL MRT 7 mins  NS18 570m, TOA PAYOH MRT 11 mins  NS19 880m, CALDECOTT MRT 16 mins  CC17TE9 1.33 km","Blk 52 2 mins  232 160m, Blk 237 2 mins  NR1129155155A157159163105153885657592873 170m, Blk 1 2 mins  735657592888155157159163129153105 190m","First Toa Payoh Primary 480m, Kheng Cheng 520m, Pei Chun Public 520m","Beatty Secondary 290m, Guangyang Secondary 610m, Raffles Institution 940m","Hdb Hub 860m, Junction 8 1.28 km, JUNCTION 8 SHOPPING CENTRE 1.3 km",NA,"Raffles Institution 940m, St. Joseph's Institution 1.42 km, Catholic High School 1.86 km",NA,103.8486493,1.3377967
Sophia Hills,Condominium,"$1,710,000 "," $2,408 psf (Built-up) ",NA,Condominium,Hoi Hup Sunway Mount Sophia Pte Ltd,15 Mount Sophia (228472), D9 - Orchard / River Valley ,2,2,NA, 710 sqft (Built-up) ,LEASEHOLD/99 years,493,"Conserved Building: Childcare/kindergarten, Bbq Corner, Children's Pool, Lounge, Jogging Path, Water Wall, Fitness Stations, Gymnasium, Residents' Side Gate, Yoga Decks, Children's Water Play, Sunning Deck, Male And Female Changing And Steam Rooms, Mountain Terraces, Clubhouse Drop-off Plaza, Games Room, Function Rooms, Substation, Vantage Deck, Conserved Building: Restaurant, Seating Corner, Pavilion, 50M Lap Pool, Bin Centre, Toddler's Playground, Adventure Playground, Reflective Pool, The Sophia Grand Staircase, The Sophia Mirror Pool, Internet Corner, Lagoon Pool, Timber Deck, Childcare Drop-off Plaza, Main Entrance Drop-off Plaza, Steps Cascades, Water Cascades, Guardhouse, Management Office, Multi-purpose Media Room, Bio-pond, Jacuzzi, Air Conditioning, Water Heater","DHOBY GHAUT MRT 3 mins  CC1NS24NE6 300m, BENCOOLEN MRT 5 mins  DT21 440m, BRAS BASAH MRT 7 mins  CC2 560m",Macdonald Hse 3 mins  139NR6NR76465 240m,"St. Margaret's Primary 300m, Anglo-chinese School (junior) 1.04 km, Stamford Primary 1.15 km","School Of The Arts, Singapore 270m","Plaza Singapura 220m, PARKLANE SHOPPING MALL 280m, Paradiz 280m",NA,"School Of The Arts, Singapore 270m",NA,103.8472465,1.2999978
Sophia Hills,Condominium,"$1,658,000 "," $2,369 psf (Built-up) ",NA,Condominium,Hoi Hup Sunway Mount Sophia Pte Ltd,27 Mount Sophia (228478), D9 - Orchard / River Valley ,3,2,NA, 700 sqft (Built-up) ,LEASEHOLD/99 years,493,"Bbq Corner, Main Entrance Drop-off Plaza, Reflective Pool, 50M Lap Pool, Conserved Building: Restaurant, Bin Centre, Mountain Terraces, Water Wall, Fitness Stations, Management Office, Timber Deck, Substation, Childcare Drop-off Plaza, Lagoon Pool, Toddler's Playground, Conserved Building: Childcare/kindergarten, Male And Female Changing And Steam Rooms, Children's Pool, Residents' Side Gate, Yoga Decks, Jacuzzi, Multi-purpose Media Room, Lounge, Pavilion, Seating Corner, Vantage Deck, Steps Cascades, Gymnasium, Adventure Playground, Sunning Deck, Guardhouse, The Sophia Grand Staircase, Jogging Path, Clubhouse Drop-off Plaza, The Sophia Mirror Pool, Function Rooms, Bio-pond, Water Cascades, Games Room, Children's Water Play, Internet Corner, Air Conditioning, Water Heater","DHOBY GHAUT MRT 4 mins  CC1NS24NE6 320m, BENCOOLEN MRT 5 mins  DT21 410m, BRAS BASAH MRT 6 mins  CC2 530m",Macdonald Hse 3 mins  139NR6NR76465 240m,"St. Margaret's Primary 320m, Anglo-chinese School (junior) 1.07 km, Stamford Primary 1.12 km","School Of The Arts, Singapore 240m","PARKLANE SHOPPING MALL 240m, Paradiz 240m, POMO 240m",NA,"School Of The Arts, Singapore 240m",NA,103.8469113,1.3005947
Kingsford Waterbay,Apartment,"$1,059,292 "," $1,015 psf (Built-up) ",NA,Apartment,Kingsford Property Development Pte Ltd,68 Upper Serangoon View (533884), D19 - Hougang / Punggol / Sengkang ,3,NA,NA," 1,044 sqft (Built-up) ",LEASEHOLD/99 years,1165,"Air Conditioning, Water Heater"," 14 mins   1.14 km, KANGKAR LRT 15 mins  SE4 1.22 km, RANGGUNG LRT 15 mins  SE5 1.23 km","Opp S'goon Sec Sch 1 min  324 90m, Serangoon Sec Sch 3 mins  6262A102136 250m","Chij Our Lady Of The Nativity 590m, Punggol Primary 1.04 km, North Vista Primary 1.27 km","Serangoon Secondary 130m, Holy Innocents' High 770m, North Vista Secondary 920m","THE MIDTOWN 930m, Eastpoint Mall 1.03 km, Hougang Mall 1.03 km",NA,NA,NA,103.9033261,1.3748577
Kingsford Waterbay,Apartment,"$911,153 "," $1,176 psf (Built-up) ",NA,Apartment,Kingsford Property Development Pte Ltd,66 Upper Serangoon View (533885), D19 - Hougang / Punggol / Sengkang ,2,NA,NA, 775 sqft (Built-up) ,LEASEHOLD/99 years,1165,"Park/greenery View, City View, Air Conditioning, Water Heater, Cooker Hob/hood, Balcony"," 14 mins   1.16 km, HOUGANG MRT 15 mins  NE14 1.23 km, RANGGUNG LRT 15 mins  SE5 1.24 km","Opp S'goon Sec Sch 1 min  324 110m, Serangoon Sec Sch 3 mins  6262A102136 250m","Chij Our Lady Of The Nativity 560m, Punggol Primary 1.03 km, Holy Innocents' Primary 1.26 km","Serangoon Secondary 140m, Holy Innocents' High 740m, North Vista Secondary 930m","THE MIDTOWN 890m, Eastpoint Mall 1.0 km, Hougang Mall 1.0 km",NA,NA,NA,103.9037896,1.3754808
Holland Grove,Semi-Detached,"$2,770,001 "," $1,286 psf (Land) / $769 psf (Built-up) ",1997,Semi-detached,WHITE HOUSE PROPERTIES PTE LTD,Holland Grove View, D10 - Tanglin / Holland / Bukit Timah ,4,4,NA," 2,153 sqft (Land) /  3,600 sqft (Built-up) ",LEASEHOLD/99 years,113,"Air Conditioning, Bathtub, Cooker Hob/hood, Air Conditioning, Water Heater, Outdoor Patio, Maidsroom, Walk-in-wardrobe","DOVER MRT 5 mins  EW22 430m, BUONA VISTA MRT 13 mins  CC22EW21 1.04 km, ONE NORTH MRT 19 mins  CC23 1.54 km",NA,"Henry Park Primary 510m, Fairfield Methodist School (primary) 1.39 km, Pei Tong Primary 1.68 km","School Of Science And Technology, Singapore 920m, Anglo-chinese School (independent) 1.01 km, New Town Secondary 1.03 km","THE STAR VISTA 930m, Rochester Mall 1.05 km, CLEMENTI AVENUE 2 SHOPPING CENTRE 1.27 km",Partially Furnished,"Anglo-chinese School (independent) 1.01 km, Nus High School Of Mathematics And Science 1.58 km",NA,103.7815175,1.3128487
Kingsford Waterbay,Apartment,"$870,000 "," $1,123 psf (Built-up) ",NA,Apartment,Kingsford Property Development Pte Ltd,66 Upper Serangoon View (533885), D19 - Hougang / Punggol / Sengkang ,2,NA,NA, 775 sqft (Built-up) ,LEASEHOLD/99 years,1165,"Air Conditioning, Water Heater"," 14 mins   1.16 km, HOUGANG MRT 15 mins  NE14 1.23 km, RANGGUNG LRT 15 mins  SE5 1.24 km","Opp S'goon Sec Sch 1 min  324 110m, Serangoon Sec Sch 3 mins  6262A102136 250m","Chij Our Lady Of The Nativity 560m, Punggol Primary 1.03 km, Holy Innocents' Primary 1.26 km","Serangoon Secondary 140m, Holy Innocents' High 740m, North Vista Secondary 930m","THE MIDTOWN 890m, Eastpoint Mall 1.0 km, Hougang Mall 1.0 km",NA,NA,NA,103.9037896,1.3754808
Kingsford Waterbay,Apartment,"$1,060,000 "," $1,015 psf (Built-up) ",NA,Apartment,Kingsford Property Development Pte Ltd,68 Upper Serangoon View (533884), D19 - Hougang / Punggol / Sengkang ,3,NA,NA," 1,044 sqft (Built-up) ",LEASEHOLD/99 years,1165,"Air Conditioning, Water Heater"," 14 mins   1.14 km, KANGKAR LRT 15 mins  SE4 1.22 km, RANGGUNG LRT 15 mins  SE5 1.23 km","Opp S'goon Sec Sch 1 min  324 90m, Serangoon Sec Sch 3 mins  6262A102136 250m","Chij Our Lady Of The Nativity 590m, Punggol Primary 1.04 km, North Vista Primary 1.27 km","Serangoon Secondary 130m, Holy Innocents' High 770m, North Vista Secondary 920m","THE MIDTOWN 930m, Eastpoint Mall 1.03 km, Hougang Mall 1.03 km",NA,NA,NA,103.9033261,1.3748577
Gem Residences,Condominium,"$1,322,000 "," $1,253 psf (Built-up) ",NA,Condominium,GEM Homes Pte Ltd,1 Lorong 5 Toa Payoh (319458), D12 - Balestier / Toa Payoh ,2,2,NA," 1,055 sqft (Built-up) ",LEASEHOLD/99 years,578,"Air Conditioning, Water Heater","BRADDELL MRT 6 mins  NS18 530m, TOA PAYOH MRT 10 mins  NS19 800m, CALDECOTT MRT 15 mins  CC17TE9 1.26 km","Blk 52 2 mins  232 210m, Toa Payoh Police Ctr 2 mins  59231232129 210m, Blk 56 2 mins  23128735688105155157159163153 220m","Kheng Cheng 440m, First Toa Payoh Primary 550m, Pei Chun Public 560m","Beatty Secondary 360m, Guangyang Secondary 660m, Raffles Institution 950m","Hdb Hub 790m, Junction 8 1.33 km, JUNCTION 8 SHOPPING CENTRE 1.34 km",NA,"Raffles Institution 950m, St. Joseph's Institution 1.49 km, Catholic High School 1.9 km",NA,103.8531666,1.3336887
Gem Residences,Condominium,"$1,078,000 "," $1,590 psf (Built-up) ",NA,Condominium,GEM Homes Pte Ltd,3 Lorong 5 Toa Payoh (319459), D12 - Balestier / Toa Payoh ,3,2,NA, 678 sqft (Built-up) ,LEASEHOLD/99 years,578,"Air Conditioning, Water Heater","BRADDELL MRT 7 mins  NS18 570m, TOA PAYOH MRT 11 mins  NS19 880m, CALDECOTT MRT 16 mins  CC17TE9 1.33 km","Blk 52 2 mins  232 160m, Blk 237 2 mins  NR1129155155A157159163105153885657592873 170m, Blk 1 2 mins  735657592888155157159163129153105 190m","First Toa Payoh Primary 480m, Kheng Cheng 520m, Pei Chun Public 520m","Beatty Secondary 290m, Guangyang Secondary 610m, Raffles Institution 940m","Hdb Hub 860m, Junction 8 1.28 km, JUNCTION 8 SHOPPING CENTRE 1.3 km",NA,"Raffles Institution 940m, St. Joseph's Institution 1.42 km, Catholic High School 1.86 km",NA,103.8486493,1.3377967
Sophia Hills,Condominium,"$1,171,000 "," $1,649 psf (Built-up) ",NA,Condominium,Hoi Hup Sunway Mount Sophia Pte Ltd,15 Mount Sophia (228472), D9 - Orchard / River Valley ,2,2,NA, 710 sqft (Built-up) ,LEASEHOLD/99 years,493,"Pavilion, Male And Female Changing And Steam Rooms, Reflective Pool, Lounge, Steps Cascades, Bbq Corner, Main Entrance Drop-off Plaza, Guardhouse, Water Wall, Bio-pond, The Sophia Grand Staircase, Mountain Terraces, Management Office, Children's Pool, Residents' Side Gate, Timber Deck, Fitness Stations, Bin Centre, Function Rooms, Internet Corner, The Sophia Mirror Pool, Multi-purpose Media Room, Substation, Jogging Path, 50M Lap Pool, Children's Water Play, Conserved Building: Childcare/kindergarten, Adventure Playground, Vantage Deck, Jacuzzi, Games Room, Lagoon Pool, Clubhouse Drop-off Plaza, Gymnasium, Water Cascades, Yoga Decks, Sunning Deck, Conserved Building: Restaurant, Childcare Drop-off Plaza, Toddler's Playground, Seating Corner, Air Conditioning, Water Heater","DHOBY GHAUT MRT 3 mins  CC1NS24NE6 300m, BENCOOLEN MRT 5 mins  DT21 440m, BRAS BASAH MRT 7 mins  CC2 560m",Macdonald Hse 3 mins  139NR6NR76465 240m,"St. Margaret's Primary 300m, Anglo-chinese School (junior) 1.04 km, Stamford Primary 1.15 km","School Of The Arts, Singapore 270m","Plaza Singapura 220m, PARKLANE SHOPPING MALL 280m, Paradiz 280m",NA,"School Of The Arts, Singapore 270m",NA,103.8472465,1.2999978
Sophia Hills,Condominium,"$1,658,000 "," $2,369 psf (Built-up) ",NA,Condominium,Hoi Hup Sunway Mount Sophia Pte Ltd,27 Mount Sophia (228478), D9 - Orchard / River Valley ,3,2,NA, 700 sqft (Built-up) ,LEASEHOLD/99 years,493,"Childcare Drop-off Plaza, Male And Female Changing And Steam Rooms, Timber Deck, Water Wall, Jacuzzi, Bio-pond, Yoga Decks, Jogging Path, Internet Corner, The Sophia Mirror Pool, Lagoon Pool, Clubhouse Drop-off Plaza, Mountain Terraces, Vantage Deck, Water Cascades, Seating Corner, Main Entrance Drop-off Plaza, Games Room, Function Rooms, Sunning Deck, Pavilion, Reflective Pool, Bbq Corner, Fitness Stations, Substation, Steps Cascades, Children's Water Play, Gymnasium, Multi-purpose Media Room, Lounge, Residents' Side Gate, Adventure Playground, Children's Pool, Toddler's Playground, The Sophia Grand Staircase, Management Office, 50M Lap Pool, Guardhouse, Conserved Building: Childcare/kindergarten, Bin Centre, Conserved Building: Restaurant, Air Conditioning, Water Heater","DHOBY GHAUT MRT 4 mins  CC1NS24NE6 320m, BENCOOLEN MRT 5 mins  DT21 410m, BRAS BASAH MRT 6 mins  CC2 530m",Macdonald Hse 3 mins  139NR6NR76465 240m,"St. Margaret's Primary 320m, Anglo-chinese School (junior) 1.07 km, Stamford Primary 1.12 km","School Of The Arts, Singapore 240m","PARKLANE SHOPPING MALL 240m, Paradiz 240m, POMO 240m",NA,"School Of The Arts, Singapore 240m",NA,103.8469113,1.3005947
Northwave,Condominium,"$678,000 ", $600 psf (Built-up) ,NA,Condominium,Hao Yuan (Woodlands) Pte Ltd,111 Woodlands View (737703), D25 - Admiralty / Woodlands ,3,2,NA," 1,130 sqft (Built-up) ",LEASEHOLD/99 years,358,"Air Conditioning, Water Heater","ADMIRALTY MRT 13 mins  NS10 1.11 km, SEMBAWANG MRT 15 mins  NS11 1.23 km","Opp 3M Bldg 1 min  965969 110m, 3M Bldg 1 min  965965A969NR2 130m","Greenwood Primary 750m, Riverside Primary 1.01 km, Canberra Primary 1.05 km","Sembawang Secondary 750m, Admiralty Secondary 920m, Spectra Secondary 1.04 km","ADMIRALTY PLACE 1.02 km, Sun Plaza 1.14 km, WOODLANDS MART 1.37 km",NA,NA,NA,103.808573,1.4424615
The Crest,Condominium,"$1,713,000 "," $1,940 psf (Built-up) ",2017,Condominium,Wingcrown Investment Pte Ltd,101 Prince Charles Crescent (159017), D3 - Alexandra / Commonwealth ,2,1,NA, 883 sqft (Built-up) ,LEASEHOLD/99 years,469,"Air Conditioning, Water Heater","REDHILL MRT 6 mins  EW18 540m, TIONG BAHRU MRT 13 mins  EW17 1.06 km, ORCHARD BOULEVARD MRT DUE 2021 14 mins  TE13 1.13 km","Opp Delta Sports Hall 2 mins  51970186139122 160m, Delta Sports Hall 2 mins  12213918651970 200m","Alexandra Primary 420m, Gan Eng Seng Primary 960m, Zhangde Primary 1.14 km","Crescent Girls' 330m, Gan Eng Seng 550m, Queenstown Secondary 810m","VALLEY POINT SHOPPING CENTRE 730m, Valley Point 730m, DAWSON PLACE 1.05 km",NA,NA,NA,103.8204034,1.2926928
Bedok North Road,HDB 4 Rooms,"$480,000 ", $485 psf (Built-up) ,1978,New Generation,NA,82 Bedok North Road (460082),NA,3,2,HIGH, 92 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Corner Unit, Park/greenery View, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Private Lift","TANAH MERAH MRT 8 mins  EW4 680m, BEDOK RESERVOIR MRT 14 mins  DT30 1.18 km, BEDOK MRT 16 mins  EW5 1.29 km","Blk 124 1 min  2221414e46 90m, Blk 81 1 min  461414e222 110m","St. Anthony's Canossian Primary 590m, Haig Girls' 660m, Bedok Green Primary 680m","Anglican High 160m, St. Anthony's Canossian Secondary 600m, Bedok View Secondary 710m","EAST VILLAGE 690m, BEDOK SHOPPING COMPLEX 880m, BEDOK POINT 1.04 km",Fully Furnished,Temasek Junior College 1.34 km, Bedok ,103.9403668,1.3295396
Yishun Street 81,HDB 4 Rooms,"$353,000 ", $390 psf (Built-up) ,1988,Simplified,NA,875 Yishun Street 81 (760875),NA,3,2,MID, 84 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Corner Unit, Air Conditioning, Water Heater, Cooker Hob/hood","KHATIB MRT 5 mins  NS14 470m, YISHUN MRT 20 mins  NS13 1.64 km",Blk 873 1 min  811 80m,"Naval Base Primary 330m, Peiying Primary 730m, Northland Primary 860m","Orchid Park Secondary 190m, Chung Cheng High School (yishun) 510m, Naval Base Secondary 780m","WISTERIA MALL 670m, NORTHPOINT SHOPPING CENTRE 1.66 km, Northpoint 1.66 km",Fully Furnished,NA, Yishun ,103.8362536,1.4148379
River Isles,Condominium,"$1,449,000 ", $879 psf (Built-up) ,2015,Condominium,Qingjian Realty (Punggol Central) Pte Ltd,54 Edgedale Plains (828821), D19 - Hougang / Punggol / Sengkang ,3,2,PENTHOUSE," 1,648 sqft (Built-up) ",LEASEHOLD/99 years,610,"Water Spring Massage, Hydro Gym, Tennis Court, Eco Spring, River Ford, Bbq Pavilion, Clubhouse, Aqua Play, Sun Deck, The Glade, Fun Court, Meditation Bay, Blue Lagoon, Pizza Pavilion, Massage Cabana, Teppanyaki Pavilion, Spa Beds, Hammock Haven, Gourmet Pavilion, Pools Of Reflection, Fitness Courts, Wade 'n' Waddle, Spa Seats, Dip Lagoon, Tee Square, Dining Deck, Corner Unit, City View, Renovated, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Roof Terrace"," 4 mins   390m, CORAL EDGE LRT 5 mins  PE3 410m, KADALOOR LRT 5 mins  PE5 430m","Greendale Pr Sch 1 min  386 150m, Blk 162B 2 mins  3836N386 180m, Blk 649 2 mins  83853 180m","Greendale Primary 140m, Horizon Primary 250m, Mee Toh 600m","Greendale Secondary 170m, Punggol Secondary 700m, Edgefield Secondary 1.27 km","PUNGGOL PLAZA 350m, Rivervale Mall 1.13 km, WATERWAY POINT 1.58 km",Not Furnished,NA,NA,103.913088,1.3973766
Punggol Field,HDB 5 Rooms,"$500,000 ", $411 psf (Built-up) ,2014,Improved,NA,168C Punggol Field (823168),NA,3,2,MID, 113 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Renovated, Corner Unit, Air Conditioning, Bombshelter"," 1 min   130m, CORAL EDGE LRT 1 min  PE3 130m,  3 mins   270m","Opp Blk 126A 2 mins  836262A36N386 200m, Blk 126A 2 mins  36283 210m, Blk 166A 2 mins  50833853866N 230m","Greendale Primary 330m, Mee Toh 580m, Horizon Primary 630m","Greendale Secondary 410m, Punggol Secondary 1.05 km, Chij St. Joseph's Convent 1.28 km","PUNGGOL PLAZA 90m, Rivervale Mall 1.05 km, Rivervale Plaza 1.61 km",Partially Furnished,NA, Punggol ,103.913797,1.393896
